uri,id,name,owner,total
spotify:playlist:27FfOO7tQmrfXrnmQAKc2U,27FfOO7tQmrfXrnmQAKc2U,thehits,Jordan Shand,84
spotify:playlist:1VSZyyxVataO0xjG0q7Z3n,1VSZyyxVataO0xjG0q7Z3n,lnd,Jordan Shand,51
spotify:playlist:12AFas8eeamSLslnDrZpVg,12AFas8eeamSLslnDrZpVg,twothousand ,Jordan Shand,36
spotify:playlist:4WAdlYYZr8sZvZ79TqKdLT,4WAdlYYZr8sZvZ79TqKdLT,trash party: reloaded,Jordan Shand,135
spotify:playlist:1ua2lUZvcJJCENut6TbplQ,1ua2lUZvcJJCENut6TbplQ,we.the.problem,Jordan Shand,75
spotify:playlist:6huUo2PkYTJeCSVWKQrDId,6huUo2PkYTJeCSVWKQrDId,her.vs.her,Jordan Shand,158
spotify:playlist:0fHQO9SzrWXvg7lEk0vQ5y,0fHQO9SzrWXvg7lEk0vQ5y,BN4L,Jordan Shand,70
spotify:playlist:7AwFUdRYxgvy7WiURRfcEq,7AwFUdRYxgvy7WiURRfcEq,send.it,Jordan Shand,41
spotify:playlist:0z5VUDJswzlFizJCvjN03o,0z5VUDJswzlFizJCvjN03o,lena.paul.mix,Jordan Shand,72
spotify:playlist:6XJcFocNm0xQ04S3VPQ5Ch,6XJcFocNm0xQ04S3VPQ5Ch,((GAC)),Jordan Shand,16
spotify:playlist:6ow1GfdU67fQJviu3yp8of,6ow1GfdU67fQJviu3yp8of,pong tournery,Jordan Shand,448
spotify:playlist:5NeD4QqS3l1iwxWuvDq8lt,5NeD4QqS3l1iwxWuvDq8lt,we((kirshnik))ball,Jordan Shand,98
spotify:playlist:5FPgo99iakKA1zOUr7VEij,5FPgo99iakKA1zOUr7VEij,Henry's Barn,Jordan Shand,80
spotify:playlist:18b141nXN94Ga9pkKFrIlf,18b141nXN94Ga9pkKFrIlf,Damn She Bad,Jordan Shand,100
spotify:playlist:5GAwR8b0ZeeOOQkYLw5Au3,5GAwR8b0ZeeOOQkYLw5Au3,Talk To Me,Jordan Shand,67
spotify:playlist:3MhDSxjDbdtvNwFnYsguoo,3MhDSxjDbdtvNwFnYsguoo,natutical((wet))dreams,Jordan Shand,67
spotify:playlist:6BGRsXcGuHEOS2Zy5tZXgR,6BGRsXcGuHEOS2Zy5tZXgR,classics,Jordan Shand,104
spotify:playlist:0JKaLOz2trwd2t1GnkUpfn,0JKaLOz2trwd2t1GnkUpfn,firedrill,Jordan Shand,69
spotify:playlist:02mK2ngU4yaElSW04sOzQy,02mK2ngU4yaElSW04sOzQy,suckdown,Jordan Shand,111
spotify:playlist:2qsJ3VbVYLhzJv45IUXA8H,2qsJ3VbVYLhzJv45IUXA8H,getoff,Jordan Shand,92
spotify:playlist:22sApu4LUX0OkeiLt6x2QD,22sApu4LUX0OkeiLt6x2QD,mememusic,Jordan Shand,39
spotify:playlist:73bqdMXM36d7UirW0zwZ2b,73bqdMXM36d7UirW0zwZ2b,freshbumps,Jordan Shand,77
spotify:playlist:4iTisY8DAK3WRUKJsgdOKX,4iTisY8DAK3WRUKJsgdOKX,fluff,Jordan Shand,82
spotify:playlist:3ynCj9F0nmrmOBRU1otwIq,3ynCj9F0nmrmOBRU1otwIq,serenade,Jordan Shand,260
spotify:playlist:3Hfzq24z2aTf1eXh7lCMk5,3Hfzq24z2aTf1eXh7lCMk5,atwhatcost,Jordan Shand,324
spotify:playlist:2p8IIsp367170A8YhgLpy5,2p8IIsp367170A8YhgLpy5,fringe,Jordan Shand,8
spotify:playlist:1UeL7ScRhem4HjmRlWyzwd,1UeL7ScRhem4HjmRlWyzwd,prada,Jordan Shand,40
spotify:playlist:6rBSL8ggvPEZ7NZ2cCYZ0D,6rBSL8ggvPEZ7NZ2cCYZ0D,house.x.ha,Jordan Shand,62
spotify:playlist:1JXWhjYhNCR746Wyzck2vd,1JXWhjYhNCR746Wyzck2vd,is.this.our.house.?,Jordan Shand,74
spotify:playlist:5pCF6vHFIVocO7NfjuIsDS,5pCF6vHFIVocO7NfjuIsDS,fuck.it.she.ball,Jordan Shand,99
spotify:playlist:7s0mEIWFWl0hIHhotqcRtg,7s0mEIWFWl0hIHhotqcRtg,new.world.order,Jordan Shand,43
spotify:playlist:4frq8ijHIo076EUIJjB2lX,4frq8ijHIo076EUIJjB2lX,to.the.sun,Jordan Shand,70
spotify:playlist:1eVTUGf9z3APe5nTnujpzj,1eVTUGf9z3APe5nTnujpzj,friendsmix,Jordan Shand,12
spotify:playlist:26Lt9cGlLtlwT9NQFBgzRQ,26Lt9cGlLtlwT9NQFBgzRQ,baseball walk ups,Jason Chung,18
spotify:playlist:0kA63sBaCBS6J16JlF9t2y,0kA63sBaCBS6J16JlF9t2y,baseballbump,Jordan Shand,49
spotify:playlist:1p1DskDW7tjuUb8vnrxa1w,1p1DskDW7tjuUb8vnrxa1w,Liked from Radio,Jordan Shand,12
spotify:playlist:0NgD5tAJcg4WfRemGNwvsx,0NgD5tAJcg4WfRemGNwvsx,2k17 Vibes,Jordan Shand,50
spotify:playlist:3eIrTiOTeCDZaXsBw0iUgq,3eIrTiOTeCDZaXsBw0iUgq,Pregame,Jordan Shand,55
spotify:playlist:3Q8Gq3BlFXJgwsnYpuU7nL,3Q8Gq3BlFXJgwsnYpuU7nL,2.1,Jordan Shand,47
spotify:playlist:37i9dQZF1Cz4ezYf4fv43C,37i9dQZF1Cz4ezYf4fv43C,Your Top Songs 2016,Spotify,101
spotify:playlist:7wZ2ePqIvZ64FZs6xQ7JUQ,7wZ2ePqIvZ64FZs6xQ7JUQ,1.1,Jordan Shand,35
spotify:playlist:0EyF8NTiqvLenI973NRmxK,0EyF8NTiqvLenI973NRmxK,Danker than McDanks🍔🍟,paigedevs,411
spotify:playlist:7dGZbjx9JUbNXLDBjVaRwk,7dGZbjx9JUbNXLDBjVaRwk,tb,Jordan Shand,26
